metaheuristic,instance,num_executions,mean_fitness,median_fitness,min_fitness,max_fitness,range_fitness,std_fitness,mean_time,std_time
AOA,scp410,50,540.54,541.0,531.0,547.0,16.0,3.53,15.853,0.141
AOA,scp41,50,448.14,448.5,440.0,456.0,16.0,3.264,16.67,0.231
AOA,scp42,50,562.14,563.0,551.0,572.0,21.0,4.751,16.393,0.141
AOA,scp43,50,560.44,562.0,539.0,582.0,43.0,8.825,16.26,0.409
AOA,scp44,50,531.04,531.0,518.0,539.0,21.0,4.01,16.111,0.176
AOA,scp45,50,556.74,557.5,541.0,566.0,25.0,5.645,13.924,0.082
AOA,scp46,50,592.24,592.0,584.0,605.0,21.0,4.274,13.918,0.651
AOA,scp47,50,462.46,464.0,446.0,473.0,27.0,5.459,12.818,0.582
AOA,scp48,50,523.78,525.5,515.0,532.0,17.0,4.987,12.366,0.126
AOA,scp49,50,712.26,713.0,700.0,724.0,24.0,5.886,15.451,0.843
AOA,scp510,50,285.06,285.0,279.0,288.0,9.0,1.845,25.203,0.135
AOA,scp51,50,280.12,280.5,274.0,285.0,11.0,2.291,25.198,0.165
AOA,scp52,50,338.3,338.0,330.0,345.0,15.0,3.581,24.904,0.165
AOA,scp53,50,239.34,239.5,235.0,242.0,7.0,1.661,25.622,0.9
AOA,scp54,50,258.22,258.0,254.0,263.0,9.0,2.179,28.779,1.3
AOA,scp55,50,226.32,227.0,222.0,230.0,8.0,1.994,26.999,1.647
AOA,scp56,50,236.36,236.0,229.0,243.0,14.0,2.371,26.873,0.824
AOA,scp57,50,314.72,315.0,311.0,320.0,9.0,2.061,23.277,0.125
AOA,scp58,50,316.5,317.0,312.0,319.0,7.0,1.619,23.382,0.099
AOA,scp59,50,301.1,301.0,295.0,306.0,11.0,2.493,22.575,0.131
AOA,scp61,62,149.484,150.0,144.0,154.0,10.0,2.231,8.099,0.243
AOA,scp62,50,159.22,159.0,155.0,164.0,9.0,2.315,7.726,0.095
AOA,scp63,50,155.02,156.0,150.0,159.0,9.0,2.599,7.423,0.059
AOA,scp64,50,142.22,142.0,138.0,146.0,8.0,1.582,8.135,0.03
AOA,scp65,50,184.64,185.0,180.0,188.0,8.0,1.849,7.819,0.05
AOA,scpa1,50,273.14,273.0,268.0,278.0,10.0,2.458,56.06,0.282
AOA,scpa2,50,273.84,274.0,268.0,279.0,11.0,2.179,54.646,0.309
AOA,scpa3,50,254.3,254.0,249.0,260.0,11.0,2.41,55.393,0.748
AOA,scpa4,50,260.14,260.0,249.0,267.0,18.0,3.35,60.184,8.124
AOA,scpa5,50,257.4,258.0,249.0,264.0,15.0,3.54,58.055,2.829
AOA,scpb1,50,73.02,73.0,72.0,75.0,3.0,0.795,31.723,0.583
AOA,scpb2,50,81.02,81.0,78.0,83.0,5.0,1.317,33.334,0.214
AOA,scpb3,50,83.12,83.0,82.0,85.0,3.0,0.718,31.028,0.337
AOA,scpb4,50,86.0,86.0,84.0,88.0,4.0,1.178,32.89,0.485
AOA,scpb5,50,75.58,76.0,74.0,77.0,3.0,0.835,30.07,0.256
AOA,scpc1,50,247.82,248.0,243.0,252.0,9.0,2.229,123.431,0.979
AOA,scpc2,50,242.24,242.5,233.0,250.0,17.0,3.311,123.49,0.893
AOA,scpc3,50,263.4,264.0,258.0,266.0,8.0,1.714,111.154,1.691
AOA,scpc4,50,245.44,245.0,239.0,251.0,12.0,2.5,133.079,16.658
AOA,scpc5,50,227.94,228.0,225.0,232.0,7.0,1.42,114.27,0.823
AOA,scpd1,50,66.32,66.0,64.0,68.0,4.0,0.978,60.848,0.661
AOA,scpd2,50,70.36,70.0,69.0,73.0,4.0,1.005,60.804,0.95
AOA,scpd3,50,79.56,80.0,75.0,81.0,6.0,1.181,62.353,0.946
AOA,scpd4,50,66.18,66.0,63.0,69.0,6.0,1.24,66.419,0.803
AOA,scpd5,50,66.56,67.0,64.0,68.0,4.0,0.907,62.436,0.69
AOA,scpnre1,50,29.38,29.0,29.0,30.0,1.0,0.49,66.882,0.813
AOA,scpnre2,50,32.16,32.0,31.0,33.0,2.0,0.71,66.375,1.609
AOA,scpnre3,50,28.06,28.0,28.0,29.0,1.0,0.24,59.046,2.284
AOA,scpnre4,50,29.28,29.0,29.0,30.0,1.0,0.454,67.053,2.569
AOA,scpnre5,50,28.52,28.0,28.0,30.0,2.0,0.614,66.885,6.67
AOA,scpnrf1,50,14.1,14.0,14.0,15.0,1.0,0.303,35.572,0.494
AOA,scpnrf2,50,15.88,16.0,15.0,16.0,1.0,0.328,37.724,0.234
AOA,scpnrf3,50,15.0,15.0,15.0,15.0,0.0,0.0,37.66,0.225
AOA,scpnrf4,50,14.34,14.0,14.0,15.0,1.0,0.479,36.183,0.672
AOA,scpnrf5,50,14.0,14.0,14.0,14.0,0.0,0.0,34.671,0.673
AOA,scpnrg1,50,194.6,195.0,190.0,198.0,8.0,1.471,1042.416,27.762
AOA,scpnrg2,50,169.6,170.0,166.0,172.0,6.0,1.616,992.116,50.21
AOA,scpnrg3,50,184.98,185.0,181.0,188.0,7.0,1.647,1060.894,125.856
AOA,scpnrg4,50,185.82,186.0,183.0,187.0,4.0,0.919,1042.62,26.764
AOA,scpnrg5,50,185.56,186.0,183.0,187.0,4.0,1.128,1011.049,56.925
AOA,scpnrh1,50,68.94,69.0,66.0,71.0,5.0,0.978,508.422,12.688
AOA,scpnrh2,50,69.58,70.0,68.0,71.0,3.0,0.673,512.832,52.323
AOA,scpnrh3,50,63.6,64.0,62.0,65.0,3.0,0.728,486.975,19.99
AOA,scpnrh4,50,63.08,63.0,61.0,65.0,4.0,0.853,466.777,3.422
AOA,scpnrh5,50,59.02,59.0,57.0,60.0,3.0,0.769,505.041,44.275
GWO,scp410,50,548.0,549.0,540.0,556.0,16.0,4.426,22.867,0.466
GWO,scp41,50,457.6,458.0,446.0,461.0,15.0,2.792,24.087,0.205
GWO,scp42,50,572.54,573.0,557.0,578.0,21.0,5.238,23.617,0.272
GWO,scp43,50,574.16,575.0,560.0,579.0,19.0,3.771,22.65,0.299
GWO,scp44,50,537.4,538.0,528.0,545.0,17.0,3.614,21.442,1.182
GWO,scp45,50,568.22,569.0,558.0,574.0,16.0,3.266,20.53,0.186
GWO,scp46,50,596.36,596.0,576.0,610.0,34.0,9.391,20.493,1.101
GWO,scp47,50,471.18,473.0,464.0,473.0,9.0,2.488,19.807,1.102
GWO,scp48,50,525.6,527.0,511.0,533.0,22.0,6.214,18.945,0.242
GWO,scp49,50,714.92,715.5,705.0,722.0,17.0,3.231,20.511,0.446
GWO,scp510,50,290.7,290.0,287.0,293.0,6.0,1.474,37.5,0.413
GWO,scp51,50,280.92,281.0,278.0,287.0,9.0,2.137,36.807,0.427
GWO,scp52,50,340.86,341.0,334.0,345.0,11.0,2.595,38.494,1.647
GWO,scp53,50,243.18,243.0,239.0,246.0,7.0,1.837,38.444,2.243
GWO,scp54,50,263.14,264.0,260.0,265.0,5.0,1.525,40.526,2.026
GWO,scp55,50,231.36,232.0,227.0,232.0,5.0,1.208,40.183,2.612
GWO,scp56,50,241.24,241.0,236.0,246.0,10.0,2.264,36.52,3.839
GWO,scp57,50,314.28,315.0,303.0,320.0,17.0,3.338,32.616,0.549
GWO,scp58,50,309.18,307.0,301.0,322.0,21.0,6.07,32.328,0.903
GWO,scp59,50,301.18,301.5,295.0,307.0,12.0,3.373,32.251,0.355
GWO,scp61,50,150.2,150.5,143.0,154.0,11.0,2.68,11.033,0.197
GWO,scp62,50,158.12,157.5,157.0,163.0,6.0,1.52,10.39,0.142
GWO,scp63,50,152.26,150.0,149.0,159.0,10.0,3.516,10.119,0.159
GWO,scp64,50,144.6,144.0,142.0,149.0,7.0,2.222,11.533,0.14
GWO,scp65,50,183.68,184.0,180.0,186.0,6.0,1.203,10.63,0.135
GWO,scpa1,50,278.04,278.0,274.0,284.0,10.0,2.166,80.102,1.327
GWO,scpa2,50,274.18,274.5,270.0,277.0,7.0,2.027,75.944,1.253
GWO,scpa3,50,255.16,255.0,250.0,261.0,11.0,2.402,77.664,1.372
GWO,scpa4,50,265.98,265.5,257.0,276.0,19.0,3.554,94.447,11.843
GWO,scpa5,50,262.88,262.0,257.0,271.0,14.0,3.685,88.83,1.171
GWO,scpb1,50,72.28,72.0,71.0,74.0,3.0,0.858,42.052,0.693
GWO,scpb2,50,81.3,81.0,79.0,83.0,4.0,1.182,42.694,1.49
GWO,scpb3,50,82.96,83.0,82.0,84.0,2.0,0.638,40.507,0.605
GWO,scpb4,50,84.42,84.5,82.0,88.0,6.0,1.214,42.521,0.645
GWO,scpb5,50,75.4,76.0,73.0,77.0,4.0,0.948,39.512,0.806
GWO,scpc1,50,251.88,252.0,245.0,255.0,10.0,1.976,166.508,2.178
GWO,scpc2,50,244.66,245.0,238.0,250.0,12.0,2.228,163.488,2.085
GWO,scpc3,50,260.66,261.0,257.0,265.0,8.0,2.172,148.39,2.999
GWO,scpc4,50,248.56,249.0,242.0,253.0,11.0,2.844,188.202,29.825
GWO,scpc5,50,229.92,230.0,227.0,232.0,5.0,1.085,157.345,1.933
GWO,scpd1,50,65.58,66.0,63.0,67.0,4.0,1.032,74.616,1.207
GWO,scpd2,50,69.06,69.0,68.0,70.0,2.0,0.682,76.745,1.144
GWO,scpd3,50,78.32,78.0,76.0,80.0,4.0,1.133,77.57,0.941
GWO,scpd4,50,65.62,65.0,63.0,70.0,7.0,1.413,84.619,1.621
GWO,scpd5,50,67.48,67.0,64.0,69.0,5.0,1.199,83.279,1.339
GWO,scpnre1,50,29.38,29.0,29.0,30.0,1.0,0.49,79.403,2.459
GWO,scpnre2,50,32.38,32.5,31.0,33.0,2.0,0.697,76.058,1.396
GWO,scpnre3,50,28.02,28.0,27.0,29.0,2.0,0.247,71.431,5.811
GWO,scpnre4,50,29.62,30.0,29.0,31.0,2.0,0.567,75.836,1.534
GWO,scpnre5,50,28.4,28.0,28.0,29.0,1.0,0.495,92.591,3.953
GWO,scpnrf1,50,14.24,14.0,14.0,15.0,1.0,0.431,37.652,0.755
GWO,scpnrf2,50,15.18,15.0,15.0,16.0,1.0,0.388,41.265,1.006
GWO,scpnrf3,50,14.92,15.0,14.0,15.0,1.0,0.274,39.774,1.04
GWO,scpnrf4,50,14.58,15.0,14.0,15.0,1.0,0.499,36.518,0.654
GWO,scpnrf5,50,14.0,14.0,14.0,14.0,0.0,0.0,34.161,0.895
GWO,scpnrg1,50,195.42,196.0,189.0,199.0,10.0,2.129,1427.017,165.549
GWO,scpnrg2,50,170.86,171.0,167.0,173.0,6.0,1.37,1357.559,114.146
GWO,scpnrg3,49,184.592,185.0,183.0,187.0,4.0,1.079,1397.609,29.097
GWO,scpnrg4,50,187.42,187.0,185.0,191.0,6.0,1.401,1348.588,48.139
GWO,scpnrg5,50,186.7,187.0,183.0,189.0,6.0,1.474,1345.888,84.808
GWO,scpnrh1,50,69.6,70.0,67.0,71.0,4.0,0.857,579.731,23.518
GWO,scpnrh2,50,70.32,70.0,68.0,72.0,4.0,0.844,547.751,48.15
GWO,scpnrh3,50,65.24,65.0,63.0,67.0,4.0,0.96,563.864,20.813
GWO,scpnrh4,50,63.96,64.0,62.0,66.0,4.0,0.856,546.703,16.255
GWO,scpnrh5,50,60.02,60.0,58.0,61.0,3.0,0.915,555.986,13.448
